query_id,doc_id,relevance
1,9090,3
1,6850,2
1,9574,2
1,8709,1
1,9684,1
1,5011,1
2,5715,2
2,9677,2
2,5766,2
2,6327,1
2,6079,1
2,5653,1
2,6498,1
2,7117,1
3,9743,3
4,6491,3
4,5269,3
4,8032,3
4,9444,3
4,8988,2
4,9445,2
4,5883,2
4,7435,2
4,9745,1
4,10029,1
4,7224,1
4,9038,1
4,7827,1
4,6675,1
4,9720,1
4,6289,1
4,9746,1
4,6836,1
4,10119,1
4,4742,1
4,9739,1
4,5783,1
4,10117,1
4,8414,1
4,5865,1
4,8315,1
4,9523,1
4,8318,1
4,6288,1
4,5268,1
4,7620,1
4,7046,1
4,6054,1
4,9744,1
4,6743,1
4,9278,1
4,8562,1
4,6382,1
4,6334,1
4,6292,1
5,1646,1
5,2126,1
5,3111,1
5,4983,1
5,8646,1
5,6669,1
5,8282,1
6,8433,3
6,7487,3
6,6736,3
6,5305,1
6,8844,1
6,9736,1
6,9541,1
6,8261,1
6,8120,1
6,7424,1
6,8593,1
6,7737,1
7,7646,3
7,3156,2
7,4144,1
8,9891,3
8,7844,3
8,9574,2
8,9684,2
8,9090,1
8,9652,1
8,9281,1
8,6171,1
9,5884,3
9,5995,3
9,5121,3
9,6923,3
9,7686,2
9,7704,2
9,6496,2
9,5565,2
9,9760,2
9,8344,2
9,5138,1
9,9104,1
9,7847,1
9,5644,1
9,7961,1
9,7687,1
9,9647,1
9,9666,1
9,7357,1
9,8186,1
9,5000,1
9,7946,1
9,7825,1
9,9072,1
9,8514,1
9,7690,1
9,7729,1
9,7688,1
9,10019,1
9,6181,1
10,7346,3
10,8840,2
10,3258,2
10,5175,1
10,8566,1
