system_number,query_number,doc_number,rank_of_doc,score
1,1,6567,1,5.0743
1,1,9652,2,4.4829
1,1,9684,3,4.3478
1,1,7844,4,4.3268
1,1,9584,5,4.2160
1,1,7853,6,4.0384
1,1,9090,7,4.0021
1,1,9574,8,4.0011
1,1,6850,9,3.9796
1,1,9616,10,3.9646
1,1,9281,11,3.8694
1,1,9891,12,3.8448
1,1,9665,13,3.8105
1,1,8446,14,3.8105
1,1,9591,15,3.7642
1,1,9198,16,3.7352
1,1,5690,17,3.6808
1,1,5493,18,3.6772
1,1,6915,19,3.6539
1,1,6171,20,3.6375
1,1,5023,21,3.6375
1,1,7732,22,3.6234
1,1,8871,23,3.5779
1,1,8124,24,3.5058
1,1,6602,25,3.4850
1,1,7353,26,3.4470
1,1,8564,27,3.3441
1,1,8419,28,3.3176
1,1,7735,29,3.2894
1,1,7730,30,3.2745
1,1,9069,31,3.2184
1,1,8179,32,3.2013
1,1,7745,33,3.2000
1,1,9625,34,3.1213
1,1,9394,35,3.1213
1,1,9156,36,3.1213
1,1,9961,37,3.1156
1,1,5936,38,3.1156
1,1,5014,39,3.0769
1,1,7811,40,3.0696
1,1,6675,41,3.0696
1,1,7980,42,3.0168
1,1,7553,43,2.9637
1,1,6473,44,2.9541
1,1,8270,45,2.9316
1,1,7771,46,2.9316
1,1,8375,47,2.8927
1,1,5660,48,2.8927
1,1,9530,49,2.8756
1,1,5368,50,2.8756
1,1,7925,51,2.8577
1,1,8170,52,2.8328
1,1,6927,53,2.8296
1,1,5019,54,2.8210
1,1,6470,55,2.8136
1,1,7821,56,2.8013
1,1,6182,57,2.7625
1,1,9572,58,2.7439
1,1,6894,59,2.7439
1,1,10034,60,2.7247
1,1,6848,61,2.7022
1,1,6640,62,2.6850
1,1,9478,63,2.6532
1,1,6050,64,2.6488
1,1,7879,65,2.6322
1,1,9595,66,2.6284
1,1,7183,67,2.6284
1,1,5687,68,2.6284
1,1,7909,69,2.6059
1,1,8922,70,2.6002
1,1,7598,71,2.6002
1,1,6381,72,2.6002
1,1,5169,73,2.6002
1,1,9860,74,2.5895
1,1,9487,75,2.5895
1,1,9371,76,2.5895
1,1,9247,77,2.5895
1,1,6907,78,2.5895
1,1,6484,79,2.5895
1,1,9192,80,2.5719
1,1,7965,81,2.5719
1,1,5776,82,2.5719
1,1,5825,83,2.5710
1,1,7151,84,2.5332
1,1,6964,85,2.5332
1,1,8741,86,2.5320
1,1,9853,87,2.4981
1,1,9499,88,2.4981
1,1,8326,89,2.4981
1,1,7142,90,2.4981
1,1,9076,91,2.4953
1,1,6601,92,2.4953
1,1,6308,93,2.4953
1,1,5506,94,2.4878
1,1,8370,95,2.4368
1,1,6342,96,2.4368
1,1,7532,97,2.4238
1,1,6967,98,2.4238
1,1,5101,99,2.4238
1,1,8684,100,2.4029
1,1,7396,101,2.4029
1,1,7206,102,2.4029
1,1,5807,103,2.4029
1,1,6006,104,2.3990
1,1,6849,105,2.3765
1,1,6471,106,2.3765
1,1,6300,107,2.3765
1,1,5698,108,2.3765
1,1,5350,109,2.3765
1,1,9315,110,2.3602
1,1,8716,111,2.3602
1,1,8193,112,2.3602
1,1,7230,113,2.3602
1,1,6971,114,2.3602
1,1,5954,115,2.3602
1,1,5697,116,2.3602
1,1,9071,117,2.3593
1,1,8740,118,2.3593
1,1,8545,119,2.3593
1,1,8187,120,2.3593
1,1,7715,121,2.3593
1,1,6780,122,2.3593
1,1,6410,123,2.3593
1,1,5625,124,2.3593
1,1,5464,125,2.3593
1,1,5229,126,2.3593
1,1,5095,127,2.3593
